memid,facid,no_of_slots_booked,starttime
1,3,2,03-07-2012 11:00:00
1,4,2,03-07-2012 08:00:00
0,6,2,03-07-2012 18:00:00
1,7,2,03-07-2012 19:00:00
1,8,1,03-07-2012 10:00:00
1,8,1,03-07-2012 15:00:00
2,0,3,04-07-2012 09:00:00
2,0,3,04-07-2012 15:00:00
3,4,2,04-07-2012 13:30:00
0,4,2,04-07-2012 15:00:00
0,4,2,04-07-2012 17:30:00
0,6,2,04-07-2012 12:30:00
0,6,2,04-07-2012 14:00:00
1,6,2,04-07-2012 15:30:00
2,7,2,04-07-2012 14:00:00
2,8,1,04-07-2012 12:00:00
3,8,1,04-07-2012 18:00:00
0,1,3,05-07-2012 17:30:00
1,2,3,05-07-2012 09:30:00
3,3,2,05-07-2012 09:00:00
1,3,2,05-07-2012 19:00:00
3,4,2,05-07-2012 18:30:00
0,6,2,05-07-2012 13:00:00
1,6,2,05-07-2012 14:30:00
2,7,2,05-07-2012 18:30:00
3,8,1,05-07-2012 12:30:00
0,0,3,06-07-2012 08:00:00
0,0,3,06-07-2012 14:00:00
2,0,3,06-07-2012 15:30:00
1,2,3,06-07-2012 17:00:00
1,3,2,06-07-2012 11:00:00
3,4,2,06-07-2012 12:00:00
1,6,2,06-07-2012 14:00:00
2,7,2,06-07-2012 08:30:00
2,7,2,06-07-2012 13:30:00
3,8,1,06-07-2012 15:30:00
2,0,3,07-07-2012 08:30:00
0,0,3,07-07-2012 12:30:00
2,0,3,07-07-2012 14:30:00
3,1,3,07-07-2012 08:30:00
1,2,3,07-07-2012 09:00:00
1,2,3,07-07-2012 11:30:00
1,2,3,07-07-2012 16:00:00
2,3,2,07-07-2012 12:30:00
3,4,2,07-07-2012 11:30:00
3,4,2,07-07-2012 14:00:00
0,4,2,07-07-2012 17:30:00
0,6,2,07-07-2012 08:30:00
1,6,2,07-07-2012 10:30:00
1,6,2,07-07-2012 14:30:00
0,6,2,07-07-2012 16:00:00
2,7,2,07-07-2012 11:30:00
3,8,1,07-07-2012 16:00:00
3,8,2,07-07-2012 17:30:00
3,0,3,08-07-2012 13:00:00
2,0,3,08-07-2012 17:30:00
1,1,3,08-07-2012 15:00:00
1,1,3,08-07-2012 17:30:00
1,3,2,08-07-2012 11:30:00
3,3,2,08-07-2012 18:30:00
1,3,2,08-07-2012 19:30:00
0,4,2,08-07-2012 11:00:00
2,4,2,08-07-2012 16:30:00
0,4,2,08-07-2012 18:00:00
0,4,2,08-07-2012 19:30:00
0,6,2,08-07-2012 14:00:00
0,6,2,08-07-2012 18:30:00
2,7,2,08-07-2012 11:00:00
1,7,2,08-07-2012 16:30:00
3,8,1,08-07-2012 10:00:00
3,8,1,08-07-2012 16:30:00
2,0,3,09-07-2012 12:30:00
2,0,3,09-07-2012 15:30:00
2,0,3,09-07-2012 19:00:00
0,1,3,09-07-2012 13:00:00
1,1,3,09-07-2012 19:00:00
1,2,6,09-07-2012 09:00:00
0,2,3,09-07-2012 19:00:00
3,3,2,09-07-2012 17:00:00
3,3,2,09-07-2012 18:30:00
2,4,2,09-07-2012 11:00:00
3,4,2,09-07-2012 14:30:00
0,6,2,09-07-2012 14:30:00
1,7,2,09-07-2012 15:30:00
0,7,4,09-07-2012 18:30:00
3,8,1,09-07-2012 09:30:00
3,8,1,09-07-2012 16:30:00
3,8,1,09-07-2012 20:00:00
0,0,3,10-07-2012 11:30:00
0,0,3,10-07-2012 16:00:00
2,3,2,10-07-2012 08:00:00
1,3,2,10-07-2012 11:00:00
3,3,2,10-07-2012 15:30:00
2,3,2,10-07-2012 16:30:00
1,3,2,10-07-2012 18:00:00
0,4,2,10-07-2012 10:00:00
4,4,2,10-07-2012 11:30:00
0,4,2,10-07-2012 15:00:00
3,4,4,10-07-2012 17:00:00
0,5,2,10-07-2012 08:30:00
0,6,2,10-07-2012 14:30:00
0,6,2,10-07-2012 19:00:00
4,7,2,10-07-2012 08:30:00
2,7,2,10-07-2012 17:30:00
0,8,1,10-07-2012 11:30:00
3,8,1,10-07-2012 12:00:00
3,8,1,10-07-2012 19:30:00
4,0,3,11-07-2012 08:00:00
2,0,3,11-07-2012 10:00:00
0,0,3,11-07-2012 12:00:00
